data,wse,phase,wse_orto_local,h_elipsoidal,wse_swot_ref,param_H_orto_ZR,param_N_local,param_N_egm2008
1968-01-13,2.44,High,135.603,142.733,135.45943689032183,133.163,7.13,7.27356310967817
1968-01-14,2.4,High,135.56300000000002,142.693,135.41943689032183,133.163,7.13,7.27356310967817
1968-01-15,2.2,High,135.363,142.493,135.21943689032182,133.163,7.13,7.27356310967817
1968-01-16,2.0,High,135.163,142.293,135.01943689032183,133.163,7.13,7.27356310967817
1968-01-17,2.76,High,135.923,143.053,135.77943689032182,133.163,7.13,7.27356310967817
1968-01-18,3.2,High,136.363,143.493,136.21943689032182,133.163,7.13,7.27356310967817
1968-01-19,4.2,High,137.363,144.493,137.21943689032182,133.163,7.13,7.27356310967817
1968-01-20,4.68,High,137.84300000000002,144.973,137.69943689032183,133.163,7.13,7.27356310967817
1968-01-21,4.9,High,138.06300000000002,145.193,137.91943689032183,133.163,7.13,7.27356310967817
1968-01-22,5.4,High,138.56300000000002,145.693,138.41943689032183,133.163,7.13,7.27356310967817
1968-01-23,5.2,High,138.363,145.493,138.21943689032182,133.163,7.13,7.27356310967817
1968-01-24,4.5,High,137.663,144.793,137.51943689032183,133.163,7.13,7.27356310967817
1968-01-25,3.8,High,136.96300000000002,144.09300000000002,136.81943689032184,133.163,7.13,7.27356310967817
1968-01-26,3.14,High,136.303,143.433,136.1594368903218,133.163,7.13,7.27356310967817
1968-01-27,2.86,High,136.02300000000002,143.15300000000002,135.87943689032184,133.163,7.13,7.27356310967817
1968-01-28,3.08,High,136.24300000000002,143.37300000000002,136.09943689032184,133.163,7.13,7.27356310967817
1968-01-29,2.84,High,136.00300000000001,143.133,135.85943689032183,133.163,7.13,7.27356310967817
1968-01-30,2.48,High,135.643,142.773,135.49943689032182,133.163,7.13,7.27356310967817
1968-01-31,2.12,High,135.28300000000002,142.413,135.13943689032183,133.163,7.13,7.27356310967817
1968-02-01,2.0,High,135.163,142.293,135.01943689032183,133.163,7.13,7.27356310967817
1968-02-02,1.9,High,135.06300000000002,142.193,134.91943689032183,133.163,7.13,7.27356310967817
1968-02-03,2.1,High,135.263,142.393,135.11943689032182,133.163,7.13,7.27356310967817
1968-02-04,1.9,High,135.06300000000002,142.193,134.91943689032183,133.163,7.13,7.27356310967817
1968-02-05,1.76,High,134.923,142.053,134.77943689032182,133.163,7.13,7.27356310967817
1968-02-06,1.74,High,134.90300000000002,142.03300000000002,134.75943689032184,133.163,7.13,7.27356310967817
1968-02-07,1.82,High,134.983,142.113,134.83943689032182,133.163,7.13,7.27356310967817
1968-02-08,1.92,High,135.083,142.213,134.93943689032182,133.163,7.13,7.27356310967817
1968-02-09,2.26,High,135.423,142.553,135.27943689032182,133.163,7.13,7.27356310967817
1968-02-10,2.38,High,135.543,142.673,135.39943689032182,133.163,7.13,7.27356310967817
1968-02-11,2.1,High,135.263,142.393,135.11943689032182,133.163,7.13,7.27356310967817
1968-02-12,1.78,High,134.943,142.073,134.79943689032183,133.163,7.13,7.27356310967817
1968-02-13,1.74,High,134.90300000000002,142.03300000000002,134.75943689032184,133.163,7.13,7.27356310967817
1968-02-14,1.76,High,134.923,142.053,134.77943689032182,133.163,7.13,7.27356310967817
1968-02-15,2.12,High,135.28300000000002,142.413,135.13943689032183,133.163,7.13,7.27356310967817
1968-02-16,2.46,High,135.62300000000002,142.75300000000001,135.47943689032184,133.163,7.13,7.27356310967817
1968-02-17,2.74,High,135.90300000000002,143.03300000000002,135.75943689032184,133.163,7.13,7.27356310967817
1968-02-18,2.9,High,136.06300000000002,143.193,135.91943689032183,133.163,7.13,7.27356310967817
1968-02-19,2.94,High,136.103,143.233,135.95943689032183,133.163,7.13,7.27356310967817
1968-02-20,2.9,High,136.06300000000002,143.193,135.91943689032183,133.163,7.13,7.27356310967817
1968-02-21,2.46,High,135.62300000000002,142.75300000000001,135.47943689032184,133.163,7.13,7.27356310967817
1968-02-22,2.12,High,135.28300000000002,142.413,135.13943689032183,133.163,7.13,7.27356310967817
1968-02-23,2.18,High,135.34300000000002,142.473,135.19943689032183,133.163,7.13,7.27356310967817
1968-02-24,2.26,High,135.423,142.553,135.27943689032182,133.163,7.13,7.27356310967817
1968-02-25,2.56,High,135.723,142.853,135.57943689032183,133.163,7.13,7.27356310967817
1968-02-26,2.34,High,135.50300000000001,142.633,135.35943689032183,133.163,7.13,7.27356310967817
1968-02-27,2.26,High,135.423,142.553,135.27943689032182,133.163,7.13,7.27356310967817
1968-02-28,2.16,High,135.323,142.453,135.17943689032182,133.163,7.13,7.27356310967817
1968-02-29,1.98,High,135.143,142.273,134.99943689032182,133.163,7.13,7.27356310967817
1968-03-01,1.7,High,134.863,141.993,134.71943689032182,133.163,7.13,7.27356310967817
1968-03-02,1.58,High,134.74300000000002,141.87300000000002,134.59943689032184,133.163,7.13,7.27356310967817
1968-03-03,1.54,High,134.703,141.833,134.55943689032182,133.163,7.13,7.27356310967817
1968-03-04,1.5,High,134.663,141.793,134.51943689032183,133.163,7.13,7.27356310967817
1968-03-05,1.43,High,134.59300000000002,141.723,134.44943689032183,133.163,7.13,7.27356310967817
1968-03-06,1.41,High,134.573,141.703,134.42943689032182,133.163,7.13,7.27356310967817
1968-03-07,1.44,High,134.603,141.733,134.45943689032183,133.163,7.13,7.27356310967817
1968-03-08,1.46,Falling,134.62300000000002,141.75300000000001,134.47943689032184,133.163,7.13,7.27356310967817
1968-03-09,1.51,Falling,134.673,141.803,134.52943689032182,133.163,7.13,7.27356310967817
1968-03-10,1.53,Falling,134.693,141.823,134.54943689032183,133.163,7.13,7.27356310967817
1968-03-11,1.66,Falling,134.823,141.953,134.67943689032182,133.163,7.13,7.27356310967817
1968-03-12,1.62,Falling,134.78300000000002,141.913,134.63943689032183,133.163,7.13,7.27356310967817
1968-03-13,1.71,Falling,134.87300000000002,142.00300000000001,134.72943689032184,133.163,7.13,7.27356310967817
1968-03-14,1.68,Falling,134.84300000000002,141.973,134.69943689032183,133.163,7.13,7.27356310967817
1968-03-15,1.57,Falling,134.733,141.863,134.58943689032182,133.163,7.13,7.27356310967817
1968-03-16,1.68,Falling,134.84300000000002,141.973,134.69943689032183,133.163,7.13,7.27356310967817
1968-03-17,1.69,Falling,134.853,141.983,134.70943689032183,133.163,7.13,7.27356310967817
1968-03-18,1.59,Falling,134.75300000000001,141.883,134.60943689032183,133.163,7.13,7.27356310967817
1968-03-19,1.62,Falling,134.78300000000002,141.913,134.63943689032183,133.163,7.13,7.27356310967817
1968-03-20,1.59,Falling,134.75300000000001,141.883,134.60943689032183,133.163,7.13,7.27356310967817
1968-03-21,1.52,Falling,134.68300000000002,141.81300000000002,134.53943689032184,133.163,7.13,7.27356310967817
1968-03-22,1.55,Rising,134.71300000000002,141.84300000000002,134.56943689032184,133.163,7.13,7.27356310967817
1968-03-23,1.68,Falling,134.84300000000002,141.973,134.69943689032183,133.163,7.13,7.27356310967817
1968-03-24,1.62,Falling,134.78300000000002,141.913,134.63943689032183,133.163,7.13,7.27356310967817
1968-03-25,1.6,Falling,134.763,141.893,134.61943689032182,133.163,7.13,7.27356310967817
1968-03-26,1.5,Falling,134.663,141.793,134.51943689032183,133.163,7.13,7.27356310967817
1968-03-27,1.51,Falling,134.673,141.803,134.52943689032182,133.163,7.13,7.27356310967817
1968-03-28,1.51,Falling,134.673,141.803,134.52943689032182,133.163,7.13,7.27356310967817
1968-03-29,1.5,Falling,134.663,141.793,134.51943689032183,133.163,7.13,7.27356310967817
1968-03-30,1.45,Falling,134.613,141.743,134.46943689032182,133.163,7.13,7.27356310967817
1968-03-31,1.39,Falling,134.553,141.683,134.4094368903218,133.163,7.13,7.27356310967817
1968-04-01,1.3,Falling,134.46300000000002,141.59300000000002,134.31943689032184,133.163,7.13,7.27356310967817
1968-04-02,1.33,Falling,134.49300000000002,141.62300000000002,134.34943689032184,133.163,7.13,7.27356310967817
1968-04-03,1.37,Falling,134.53300000000002,141.663,134.38943689032183,133.163,7.13,7.27356310967817
1968-04-04,1.4,Falling,134.56300000000002,141.693,134.41943689032183,133.163,7.13,7.27356310967817
1968-04-05,1.43,Falling,134.59300000000002,141.723,134.44943689032183,133.163,7.13,7.27356310967817
1968-04-06,1.42,Falling,134.583,141.713,134.43943689032182,133.163,7.13,7.27356310967817
1968-04-07,1.34,Falling,134.50300000000001,141.633,134.35943689032183,133.163,7.13,7.27356310967817
1968-04-08,1.3,Falling,134.46300000000002,141.59300000000002,134.31943689032184,133.163,7.13,7.27356310967817
1968-04-09,1.27,Falling,134.43300000000002,141.56300000000002,134.28943689032184,133.163,7.13,7.27356310967817
1968-04-10,1.24,Falling,134.40300000000002,141.53300000000002,134.25943689032184,133.163,7.13,7.27356310967817
1968-04-11,1.21,Falling,134.37300000000002,141.50300000000001,134.22943689032184,133.163,7.13,7.27356310967817
1968-04-12,1.21,Falling,134.37300000000002,141.50300000000001,134.22943689032184,133.163,7.13,7.27356310967817
1968-04-13,1.22,Falling,134.383,141.513,134.23943689032183,133.163,7.13,7.27356310967817
1968-04-14,1.2,Falling,134.363,141.493,134.21943689032182,133.163,7.13,7.27356310967817
1968-04-15,1.19,Falling,134.353,141.483,134.20943689032183,133.163,7.13,7.27356310967817
1968-04-16,1.18,Rising,134.34300000000002,141.473,134.19943689032183,133.163,7.13,7.27356310967817
1968-04-17,1.16,Rising,134.323,141.453,134.17943689032182,133.163,7.13,7.27356310967817
1968-04-18,1.19,Rising,134.353,141.483,134.20943689032183,133.163,7.13,7.27356310967817
1968-04-19,1.22,Rising,134.383,141.513,134.23943689032183,133.163,7.13,7.27356310967817
1968-04-20,1.24,Rising,134.40300000000002,141.53300000000002,134.25943689032184,133.163,7.13,7.27356310967817
1968-04-21,1.27,Rising,134.43300000000002,141.56300000000002,134.28943689032184,133.163,7.13,7.27356310967817
1968-04-22,1.34,Rising,134.50300000000001,141.633,134.35943689032183,133.163,7.13,7.27356310967817
1968-04-23,1.44,Falling,134.603,141.733,134.45943689032183,133.163,7.13,7.27356310967817
1968-04-24,1.39,Falling,134.553,141.683,134.4094368903218,133.163,7.13,7.27356310967817
1968-04-25,1.32,Falling,134.483,141.613,134.33943689032182,133.163,7.13,7.27356310967817
1968-04-26,1.25,Rising,134.413,141.543,134.26943689032183,133.163,7.13,7.27356310967817
1968-04-27,1.25,Rising,134.413,141.543,134.26943689032183,133.163,7.13,7.27356310967817
1968-04-28,1.38,Rising,134.543,141.673,134.39943689032182,133.163,7.13,7.27356310967817
1968-04-29,1.44,Rising,134.603,141.733,134.45943689032183,133.163,7.13,7.27356310967817
1968-04-30,1.41,Rising,134.573,141.703,134.42943689032182,133.163,7.13,7.27356310967817
1968-05-01,1.95,Rising,135.113,142.243,134.96943689032182,133.163,7.13,7.27356310967817
1968-05-02,1.87,Rising,135.03300000000002,142.163,134.88943689032183,133.163,7.13,7.27356310967817
1968-05-03,1.76,Rising,134.923,142.053,134.77943689032182,133.163,7.13,7.27356310967817
1968-05-04,1.63,Rising,134.793,141.923,134.64943689032182,133.163,7.13,7.27356310967817
1968-05-05,1.55,Rising,134.71300000000002,141.84300000000002,134.56943689032184,133.163,7.13,7.27356310967817
1968-05-06,1.45,Rising,134.613,141.743,134.46943689032182,133.163,7.13,7.27356310967817
1968-05-07,1.33,Rising,134.49300000000002,141.62300000000002,134.34943689032184,133.163,7.13,7.27356310967817
1968-05-08,1.29,Falling,134.453,141.583,134.30943689032182,133.163,7.13,7.27356310967817
1968-05-09,1.26,Falling,134.423,141.553,134.27943689032182,133.163,7.13,7.27356310967817
1968-05-10,1.74,Falling,134.90300000000002,142.03300000000002,134.75943689032184,133.163,7.13,7.27356310967817
1968-05-11,2.21,Falling,135.37300000000002,142.50300000000001,135.22943689032184,133.163,7.13,7.27356310967817
1968-05-12,2.02,Falling,135.18300000000002,142.31300000000002,135.03943689032184,133.163,7.13,7.27356310967817
1968-05-13,1.79,Falling,134.953,142.083,134.80943689032182,133.163,7.13,7.27356310967817
1968-05-14,1.51,Falling,134.673,141.803,134.52943689032182,133.163,7.13,7.27356310967817
1968-05-15,1.43,Falling,134.59300000000002,141.723,134.44943689032183,133.163,7.13,7.27356310967817
1968-05-16,1.43,Falling,134.59300000000002,141.723,134.44943689032183,133.163,7.13,7.27356310967817
1968-05-17,1.42,Falling,134.583,141.713,134.43943689032182,133.163,7.13,7.27356310967817
1968-05-18,1.42,Falling,134.583,141.713,134.43943689032182,133.163,7.13,7.27356310967817
1968-05-19,1.42,Falling,134.583,141.713,134.43943689032182,133.163,7.13,7.27356310967817
1968-05-20,1.35,Falling,134.513,141.643,134.36943689032182,133.163,7.13,7.27356310967817
1968-05-21,1.33,Falling,134.49300000000002,141.62300000000002,134.34943689032184,133.163,7.13,7.27356310967817
1968-05-22,1.32,Falling,134.483,141.613,134.33943689032182,133.163,7.13,7.27356310967817
1968-05-23,1.31,Falling,134.473,141.603,134.32943689032183,133.163,7.13,7.27356310967817
1968-05-24,1.3,Falling,134.46300000000002,141.59300000000002,134.31943689032184,133.163,7.13,7.27356310967817
1968-05-25,1.27,Falling,134.43300000000002,141.56300000000002,134.28943689032184,133.163,7.13,7.27356310967817
1968-05-26,1.24,Falling,134.40300000000002,141.53300000000002,134.25943689032184,133.163,7.13,7.27356310967817
