data,wse,phase,wse_orto_local,h_elipsoidal,wse_swot_ref,param_H_orto_ZR,param_N_local,param_N_egm2008
1966-12-01,2.89,Falling,129.055,132.655,128.68843976051252,126.165,3.6,3.966560239487476
1966-12-02,2.97,Rising,129.13500000000002,132.735,128.76843976051254,126.165,3.6,3.966560239487476
1966-12-03,3.02,Rising,129.185,132.785,128.81843976051252,126.165,3.6,3.966560239487476
1966-12-04,3.01,Rising,129.175,132.775,128.80843976051253,126.165,3.6,3.966560239487476
1966-12-05,3.3,Rising,129.465,133.065,129.09843976051252,126.165,3.6,3.966560239487476
1966-12-06,3.41,Rising,129.57500000000002,133.175,129.20843976051253,126.165,3.6,3.966560239487476
1966-12-07,3.23,Rising,129.395,132.995,129.02843976051253,126.165,3.6,3.966560239487476
1966-12-08,3.02,Rising,129.185,132.785,128.81843976051252,126.165,3.6,3.966560239487476
1966-12-09,2.8,Rising,128.965,132.565,128.59843976051252,126.165,3.6,3.966560239487476
1966-12-10,2.65,Rising,128.815,132.415,128.4484397605125,126.165,3.6,3.966560239487476
1966-12-11,2.54,Rising,128.705,132.305,128.33843976051253,126.165,3.6,3.966560239487476
1966-12-12,2.52,Rising,128.685,132.285,128.31843976051252,126.165,3.6,3.966560239487476
1966-12-13,2.47,Rising,128.63500000000002,132.235,128.26843976051254,126.165,3.6,3.966560239487476
1966-12-14,2.45,Rising,128.615,132.215,128.24843976051253,126.165,3.6,3.966560239487476
1966-12-15,2.56,Falling,128.725,132.325,128.3584397605125,126.165,3.6,3.966560239487476
1966-12-16,3.14,Falling,129.305,132.905,128.93843976051252,126.165,3.6,3.966560239487476
1966-12-17,3.29,Falling,129.455,133.055,129.08843976051253,126.165,3.6,3.966560239487476
1966-12-18,3.28,Falling,129.445,133.045,129.0784397605125,126.165,3.6,3.966560239487476
1966-12-19,3.21,Falling,129.375,132.975,129.00843976051252,126.165,3.6,3.966560239487476
1966-12-20,3.29,Falling,129.455,133.055,129.08843976051253,126.165,3.6,3.966560239487476
1966-12-21,3.49,Falling,129.655,133.255,129.28843976051252,126.165,3.6,3.966560239487476
1966-12-22,3.69,Falling,129.85500000000002,133.455,129.48843976051253,126.165,3.6,3.966560239487476
1966-12-23,3.71,Falling,129.875,133.475,129.50843976051252,126.165,3.6,3.966560239487476
1966-12-24,3.6,Falling,129.76500000000001,133.365,129.39843976051253,126.165,3.6,3.966560239487476
1966-12-25,3.48,Rising,129.645,133.245,129.27843976051253,126.165,3.6,3.966560239487476
1966-12-26,3.41,Rising,129.57500000000002,133.175,129.20843976051253,126.165,3.6,3.966560239487476
1966-12-27,3.46,Rising,129.625,133.225,129.25843976051252,126.165,3.6,3.966560239487476
1966-12-28,3.37,Rising,129.535,133.135,129.1684397605125,126.165,3.6,3.966560239487476
1966-12-29,3.07,Rising,129.235,132.835,128.86843976051253,126.165,3.6,3.966560239487476
1966-12-30,2.85,Rising,129.01500000000001,132.615,128.64843976051253,126.165,3.6,3.966560239487476
1966-12-31,2.69,Rising,128.85500000000002,132.455,128.48843976051253,126.165,3.6,3.966560239487476
1967-01-01,2.62,Rising,128.785,132.385,128.4184397605125,126.165,3.6,3.966560239487476
1967-01-02,2.68,Falling,128.845,132.445,128.47843976051252,126.165,3.6,3.966560239487476
1967-01-03,2.63,Falling,128.79500000000002,132.395,128.42843976051253,126.165,3.6,3.966560239487476
1967-01-04,2.58,Falling,128.745,132.345,128.37843976051252,126.165,3.6,3.966560239487476
1967-01-05,2.58,Falling,128.745,132.345,128.37843976051252,126.165,3.6,3.966560239487476
1967-01-06,2.57,Falling,128.735,132.335,128.36843976051253,126.165,3.6,3.966560239487476
1967-01-07,2.61,Rising,128.775,132.375,128.40843976051252,126.165,3.6,3.966560239487476
1967-01-08,2.97,Rising,129.13500000000002,132.735,128.76843976051254,126.165,3.6,3.966560239487476
1967-01-09,3.02,Rising,129.185,132.785,128.81843976051252,126.165,3.6,3.966560239487476
1967-01-10,3.35,Rising,129.51500000000001,133.115,129.14843976051253,126.165,3.6,3.966560239487476
1967-01-11,3.77,Rising,129.935,133.535,129.56843976051252,126.165,3.6,3.966560239487476
1967-01-12,3.83,Rising,129.995,133.595,129.62843976051252,126.165,3.6,3.966560239487476
1967-01-13,3.73,Rising,129.895,133.495,129.52843976051253,126.165,3.6,3.966560239487476
1967-01-14,3.51,Rising,129.675,133.275,129.30843976051253,126.165,3.6,3.966560239487476
1967-01-15,3.39,Rising,129.555,133.155,129.18843976051252,126.165,3.6,3.966560239487476
1967-01-16,3.13,Rising,129.29500000000002,132.895,128.92843976051253,126.165,3.6,3.966560239487476
1967-01-17,2.92,Rising,129.085,132.685,128.71843976051252,126.165,3.6,3.966560239487476
1967-01-18,2.88,Rising,129.04500000000002,132.645,128.67843976051253,126.165,3.6,3.966560239487476
1967-01-19,3.07,Rising,129.235,132.835,128.86843976051253,126.165,3.6,3.966560239487476
1967-01-20,3.41,Rising,129.57500000000002,133.175,129.20843976051253,126.165,3.6,3.966560239487476
1967-01-21,3.75,Rising,129.91500000000002,133.51500000000001,129.54843976051254,126.165,3.6,3.966560239487476
1967-01-22,3.79,Rising,129.955,133.555,129.58843976051253,126.165,3.6,3.966560239487476
1967-01-23,4.47,Rising,130.63500000000002,134.235,130.26843976051254,126.165,3.6,3.966560239487476
1967-01-24,4.69,Rising,130.85500000000002,134.455,130.48843976051253,126.165,3.6,3.966560239487476
1967-01-25,4.56,Rising,130.725,134.325,130.3584397605125,126.165,3.6,3.966560239487476
1967-01-26,4.6,Rising,130.76500000000001,134.365,130.39843976051253,126.165,3.6,3.966560239487476
1967-01-27,4.52,Rising,130.685,134.285,130.31843976051252,126.165,3.6,3.966560239487476
1967-01-28,4.37,Rising,130.535,134.135,130.1684397605125,126.165,3.6,3.966560239487476
1967-01-29,4.33,Rising,130.495,134.095,130.12843976051252,126.165,3.6,3.966560239487476
1967-01-30,4.24,Rising,130.405,134.005,130.03843976051252,126.165,3.6,3.966560239487476
1967-01-31,4.26,Rising,130.425,134.025,130.05843976051253,126.165,3.6,3.966560239487476
1967-02-01,4.28,Rising,130.445,134.045,130.0784397605125,126.165,3.6,3.966560239487476
1967-02-02,4.33,Rising,130.495,134.095,130.12843976051252,126.165,3.6,3.966560239487476
1967-02-03,4.4,Rising,130.565,134.165,130.1984397605125,126.165,3.6,3.966560239487476
1967-02-04,4.69,Rising,130.85500000000002,134.455,130.48843976051253,126.165,3.6,3.966560239487476
1967-02-05,4.68,Rising,130.845,134.445,130.47843976051252,126.165,3.6,3.966560239487476
1967-02-06,4.57,Rising,130.735,134.335,130.36843976051253,126.165,3.6,3.966560239487476
1967-02-07,4.55,Rising,130.715,134.315,130.34843976051252,126.165,3.6,3.966560239487476
1967-02-08,4.57,Rising,130.735,134.335,130.36843976051253,126.165,3.6,3.966560239487476
1967-02-09,4.61,Rising,130.775,134.375,130.40843976051252,126.165,3.6,3.966560239487476
1967-02-10,4.63,Rising,130.79500000000002,134.395,130.42843976051253,126.165,3.6,3.966560239487476
1967-02-11,4.58,Rising,130.745,134.345,130.37843976051252,126.165,3.6,3.966560239487476
1967-02-12,4.48,Rising,130.645,134.245,130.27843976051253,126.165,3.6,3.966560239487476
1967-02-13,4.55,Rising,130.715,134.315,130.34843976051252,126.165,3.6,3.966560239487476
1967-02-14,4.62,Rising,130.785,134.385,130.4184397605125,126.165,3.6,3.966560239487476
1967-02-15,4.74,Rising,130.905,134.505,130.53843976051252,126.165,3.6,3.966560239487476
1967-02-16,4.77,Rising,130.935,134.535,130.56843976051252,126.165,3.6,3.966560239487476
1967-02-17,4.71,Rising,130.875,134.475,130.50843976051252,126.165,3.6,3.966560239487476
1967-02-18,4.79,Rising,130.955,134.555,130.58843976051253,126.165,3.6,3.966560239487476
1967-02-19,5.15,High,131.315,134.915,130.9484397605125,126.165,3.6,3.966560239487476
1967-02-20,5.41,High,131.57500000000002,135.175,131.20843976051253,126.165,3.6,3.966560239487476
1967-02-21,5.52,High,131.685,135.285,131.31843976051252,126.165,3.6,3.966560239487476
1967-02-22,5.65,High,131.815,135.415,131.4484397605125,126.165,3.6,3.966560239487476
1967-02-23,5.71,High,131.875,135.475,131.50843976051252,126.165,3.6,3.966560239487476
1967-02-24,5.71,High,131.875,135.475,131.50843976051252,126.165,3.6,3.966560239487476
1967-02-25,5.75,High,131.91500000000002,135.51500000000001,131.54843976051254,126.165,3.6,3.966560239487476
1967-02-26,5.83,High,131.995,135.595,131.62843976051252,126.165,3.6,3.966560239487476
1967-02-27,5.89,High,132.055,135.655,131.68843976051252,126.165,3.6,3.966560239487476
1967-02-28,5.95,High,132.115,135.715,131.74843976051253,126.165,3.6,3.966560239487476
1967-03-01,6.0,High,132.16500000000002,135.76500000000001,131.79843976051254,126.165,3.6,3.966560239487476
1967-03-02,5.97,High,132.13500000000002,135.735,131.76843976051254,126.165,3.6,3.966560239487476
1967-03-03,5.93,High,132.095,135.695,131.72843976051252,126.165,3.6,3.966560239487476
1967-03-04,5.85,High,132.01500000000001,135.615,131.64843976051253,126.165,3.6,3.966560239487476
1967-03-05,5.77,High,131.935,135.535,131.56843976051252,126.165,3.6,3.966560239487476
1967-03-06,5.67,High,131.835,135.435,131.46843976051252,126.165,3.6,3.966560239487476
1967-03-07,5.62,High,131.785,135.385,131.4184397605125,126.165,3.6,3.966560239487476
1967-03-08,5.52,High,131.685,135.285,131.31843976051252,126.165,3.6,3.966560239487476
1967-03-09,5.45,High,131.615,135.215,131.24843976051253,126.165,3.6,3.966560239487476
1967-03-10,5.38,High,131.54500000000002,135.145,131.17843976051253,126.165,3.6,3.966560239487476
1967-03-11,5.26,High,131.425,135.025,131.05843976051253,126.165,3.6,3.966560239487476
1967-03-12,5.13,High,131.29500000000002,134.895,130.92843976051253,126.165,3.6,3.966560239487476
1967-03-13,5.03,High,131.195,134.795,130.8284397605125,126.165,3.6,3.966560239487476
1967-03-14,5.23,High,131.395,134.995,131.02843976051253,126.165,3.6,3.966560239487476
1967-03-15,5.43,High,131.595,135.195,131.22843976051252,126.165,3.6,3.966560239487476
1967-03-16,5.56,High,131.725,135.325,131.3584397605125,126.165,3.6,3.966560239487476
1967-03-17,5.58,High,131.745,135.345,131.37843976051252,126.165,3.6,3.966560239487476
1967-03-18,5.55,High,131.715,135.315,131.34843976051252,126.165,3.6,3.966560239487476
1967-03-19,5.48,High,131.645,135.245,131.27843976051253,126.165,3.6,3.966560239487476
1967-03-20,5.36,High,131.525,135.125,131.15843976051252,126.165,3.6,3.966560239487476
1967-03-21,5.28,High,131.445,135.045,131.0784397605125,126.165,3.6,3.966560239487476
1967-03-22,5.19,High,131.35500000000002,134.955,130.98843976051253,126.165,3.6,3.966560239487476
1967-03-23,5.2,High,131.365,134.965,130.99843976051253,126.165,3.6,3.966560239487476
1967-03-24,5.45,High,131.615,135.215,131.24843976051253,126.165,3.6,3.966560239487476
1967-03-25,5.65,High,131.815,135.415,131.4484397605125,126.165,3.6,3.966560239487476
1967-03-26,5.77,High,131.935,135.535,131.56843976051252,126.165,3.6,3.966560239487476
1967-03-27,5.79,High,131.955,135.555,131.58843976051253,126.165,3.6,3.966560239487476
1967-03-28,5.73,High,131.895,135.495,131.52843976051253,126.165,3.6,3.966560239487476
1967-03-29,5.69,Falling,131.85500000000002,135.455,131.48843976051253,126.165,3.6,3.966560239487476
1967-03-30,5.66,Falling,131.82500000000002,135.425,131.45843976051253,126.165,3.6,3.966560239487476
1967-03-31,5.55,Falling,131.715,135.315,131.34843976051252,126.165,3.6,3.966560239487476
1967-04-01,5.42,Falling,131.585,135.185,131.21843976051252,126.165,3.6,3.966560239487476
1967-04-02,5.3,Falling,131.465,135.065,131.09843976051252,126.165,3.6,3.966560239487476
1967-04-03,5.13,Falling,131.29500000000002,134.895,130.92843976051253,126.165,3.6,3.966560239487476
1967-04-04,4.98,Rising,131.145,134.745,130.77843976051253,126.165,3.6,3.966560239487476
1967-04-05,4.82,Rising,130.985,134.585,130.61843976051253,126.165,3.6,3.966560239487476
1967-04-06,4.66,High,130.82500000000002,134.425,130.45843976051253,126.165,3.6,3.966560239487476
1967-04-07,4.5,High,130.66500000000002,134.26500000000001,130.29843976051254,126.165,3.6,3.966560239487476
1967-04-08,4.34,High,130.505,134.105,130.1384397605125,126.165,3.6,3.966560239487476
1967-04-09,4.2,High,130.365,133.965,129.99843976051253,126.165,3.6,3.966560239487476
1967-04-10,4.16,High,130.32500000000002,133.925,129.95843976051253,126.165,3.6,3.966560239487476
1967-04-11,4.18,Falling,130.345,133.945,129.97843976051252,126.165,3.6,3.966560239487476
1967-04-12,4.62,Falling,130.785,134.385,130.4184397605125,126.165,3.6,3.966560239487476
1967-04-13,5.05,Falling,131.215,134.815,130.84843976051252,126.165,3.6,3.966560239487476
1967-04-14,5.25,Falling,131.41500000000002,135.01500000000001,131.04843976051254,126.165,3.6,3.966560239487476
1967-04-15,5.44,Falling,131.60500000000002,135.205,131.23843976051253,126.165,3.6,3.966560239487476
1967-04-16,5.5,Falling,131.66500000000002,135.26500000000001,131.29843976051254,126.165,3.6,3.966560239487476
1967-04-17,5.55,Rising,131.715,135.315,131.34843976051252,126.165,3.6,3.966560239487476
1967-04-18,5.64,Rising,131.805,135.405,131.43843976051252,126.165,3.6,3.966560239487476
1967-04-19,5.65,Rising,131.815,135.415,131.4484397605125,126.165,3.6,3.966560239487476
1967-04-20,5.6,Rising,131.76500000000001,135.365,131.39843976051253,126.165,3.6,3.966560239487476
1967-04-21,5.52,Rising,131.685,135.285,131.31843976051252,126.165,3.6,3.966560239487476
1967-04-22,5.45,High,131.615,135.215,131.24843976051253,126.165,3.6,3.966560239487476
1967-04-23,5.38,High,131.54500000000002,135.145,131.17843976051253,126.165,3.6,3.966560239487476
1967-04-24,5.29,High,131.455,135.055,131.08843976051253,126.165,3.6,3.966560239487476
1967-04-25,5.15,High,131.315,134.915,130.9484397605125,126.165,3.6,3.966560239487476
1967-04-26,5.18,High,131.345,134.945,130.97843976051252,126.165,3.6,3.966560239487476
1967-04-27,5.27,High,131.435,135.035,131.06843976051252,126.165,3.6,3.966560239487476
1967-04-28,5.28,High,131.445,135.045,131.0784397605125,126.165,3.6,3.966560239487476
1967-04-29,5.21,High,131.375,134.975,131.00843976051252,126.165,3.6,3.966560239487476
1967-04-30,5.27,Falling,131.435,135.035,131.06843976051252,126.165,3.6,3.966560239487476
1967-05-01,5.5,Falling,131.66500000000002,135.26500000000001,131.29843976051254,126.165,3.6,3.966560239487476
1967-05-02,5.65,Falling,131.815,135.415,131.4484397605125,126.165,3.6,3.966560239487476
1967-05-03,5.67,Falling,131.835,135.435,131.46843976051252,126.165,3.6,3.966560239487476
1967-05-04,5.58,Falling,131.745,135.345,131.37843976051252,126.165,3.6,3.966560239487476
1967-05-05,5.4,Falling,131.565,135.165,131.1984397605125,126.165,3.6,3.966560239487476
1967-05-06,5.21,Falling,131.375,134.975,131.00843976051252,126.165,3.6,3.966560239487476
1967-05-07,4.99,Falling,131.155,134.755,130.78843976051252,126.165,3.6,3.966560239487476
1967-05-08,4.73,Falling,130.895,134.495,130.52843976051253,126.165,3.6,3.966560239487476
1967-05-09,4.61,Falling,130.775,134.375,130.40843976051252,126.165,3.6,3.966560239487476
1967-05-10,4.43,Falling,130.595,134.195,130.22843976051252,126.165,3.6,3.966560239487476
1967-05-11,4.26,Falling,130.425,134.025,130.05843976051253,126.165,3.6,3.966560239487476
1967-05-12,4.07,Falling,130.235,133.835,129.86843976051253,126.165,3.6,3.966560239487476
1967-05-13,3.96,Falling,130.125,133.725,129.75843976051252,126.165,3.6,3.966560239487476
1967-05-14,3.85,Falling,130.01500000000001,133.615,129.64843976051253,126.165,3.6,3.966560239487476
1967-05-15,3.73,Falling,129.895,133.495,129.52843976051253,126.165,3.6,3.966560239487476
1967-05-16,3.65,Falling,129.815,133.415,129.4484397605125,126.165,3.6,3.966560239487476
1967-05-17,3.55,Falling,129.715,133.315,129.34843976051252,126.165,3.6,3.966560239487476
1967-05-18,3.46,Falling,129.625,133.225,129.25843976051252,126.165,3.6,3.966560239487476
1967-05-19,3.34,Falling,129.505,133.105,129.1384397605125,126.165,3.6,3.966560239487476
1967-05-20,3.31,Falling,129.475,133.075,129.1084397605125,126.165,3.6,3.966560239487476
1967-05-21,3.24,Falling,129.405,133.005,129.03843976051252,126.165,3.6,3.966560239487476
1967-05-22,3.14,Falling,129.305,132.905,128.93843976051252,126.165,3.6,3.966560239487476
1967-05-23,3.0,Falling,129.16500000000002,132.76500000000001,128.79843976051254,126.165,3.6,3.966560239487476
1967-05-24,2.98,Falling,129.145,132.745,128.77843976051253,126.165,3.6,3.966560239487476
1967-05-25,2.97,Falling,129.13500000000002,132.735,128.76843976051254,126.165,3.6,3.966560239487476
1967-05-26,2.95,Falling,129.115,132.715,128.74843976051253,126.165,3.6,3.966560239487476
1967-05-27,2.92,Falling,129.085,132.685,128.71843976051252,126.165,3.6,3.966560239487476
1967-05-28,2.89,Falling,129.055,132.655,128.68843976051252,126.165,3.6,3.966560239487476
1967-05-29,2.85,Falling,129.01500000000001,132.615,128.64843976051253,126.165,3.6,3.966560239487476
1967-05-30,2.81,Falling,128.975,132.575,128.6084397605125,126.165,3.6,3.966560239487476
1967-05-31,2.79,Falling,128.955,132.555,128.58843976051253,126.165,3.6,3.966560239487476
1967-06-01,2.76,Falling,128.925,132.525,128.55843976051253,126.165,3.6,3.966560239487476
1967-06-02,2.73,Falling,128.895,132.495,128.52843976051253,126.165,3.6,3.966560239487476
1967-06-03,2.71,Falling,128.875,132.475,128.50843976051252,126.165,3.6,3.966560239487476
1967-06-04,2.69,Falling,128.85500000000002,132.455,128.48843976051253,126.165,3.6,3.966560239487476
1967-06-05,2.67,Falling,128.835,132.435,128.46843976051252,126.165,3.6,3.966560239487476
1967-06-06,2.65,Falling,128.815,132.415,128.4484397605125,126.165,3.6,3.966560239487476
1967-06-07,2.69,Falling,128.85500000000002,132.455,128.48843976051253,126.165,3.6,3.966560239487476
1967-06-08,2.69,Falling,128.85500000000002,132.455,128.48843976051253,126.165,3.6,3.966560239487476
1967-06-09,2.65,Falling,128.815,132.415,128.4484397605125,126.165,3.6,3.966560239487476
1967-06-10,2.63,Falling,128.79500000000002,132.395,128.42843976051253,126.165,3.6,3.966560239487476
1967-06-11,2.62,Falling,128.785,132.385,128.4184397605125,126.165,3.6,3.966560239487476
1967-06-12,2.6,Falling,128.76500000000001,132.365,128.39843976051253,126.165,3.6,3.966560239487476
1967-06-13,2.61,Low,128.775,132.375,128.40843976051252,126.165,3.6,3.966560239487476
1967-06-14,2.62,Low,128.785,132.385,128.4184397605125,126.165,3.6,3.966560239487476
1967-06-15,2.61,Low,128.775,132.375,128.40843976051252,126.165,3.6,3.966560239487476
1967-06-16,2.58,Low,128.745,132.345,128.37843976051252,126.165,3.6,3.966560239487476
1967-06-17,2.58,Low,128.745,132.345,128.37843976051252,126.165,3.6,3.966560239487476
1967-06-18,2.57,Low,128.735,132.335,128.36843976051253,126.165,3.6,3.966560239487476
1967-06-19,2.58,Low,128.745,132.345,128.37843976051252,126.165,3.6,3.966560239487476
1967-06-20,2.58,Low,128.745,132.345,128.37843976051252,126.165,3.6,3.966560239487476
1967-06-21,2.55,Low,128.715,132.315,128.34843976051252,126.165,3.6,3.966560239487476
1967-06-22,2.52,Low,128.685,132.285,128.31843976051252,126.165,3.6,3.966560239487476
1967-06-23,2.45,Low,128.615,132.215,128.24843976051253,126.165,3.6,3.966560239487476
1967-06-24,2.48,Low,128.645,132.245,128.27843976051253,126.165,3.6,3.966560239487476
1967-06-25,2.47,Low,128.63500000000002,132.235,128.26843976051254,126.165,3.6,3.966560239487476
1967-06-26,2.45,Low,128.615,132.215,128.24843976051253,126.165,3.6,3.966560239487476
1967-06-27,2.44,Low,128.60500000000002,132.205,128.23843976051253,126.165,3.6,3.966560239487476
1967-06-28,2.43,Low,128.595,132.195,128.22843976051252,126.165,3.6,3.966560239487476
1967-06-29,2.42,Low,128.585,132.185,128.21843976051252,126.165,3.6,3.966560239487476
1967-06-30,2.41,Low,128.57500000000002,132.175,128.20843976051253,126.165,3.6,3.966560239487476
1967-07-01,2.4,Low,128.565,132.165,128.1984397605125,126.165,3.6,3.966560239487476
1967-07-02,2.39,Low,128.555,132.155,128.18843976051252,126.165,3.6,3.966560239487476
1967-07-03,2.38,Low,128.54500000000002,132.145,128.17843976051253,126.165,3.6,3.966560239487476
1967-07-04,2.38,Low,128.54500000000002,132.145,128.17843976051253,126.165,3.6,3.966560239487476
1967-07-05,2.35,Low,128.51500000000001,132.115,128.14843976051253,126.165,3.6,3.966560239487476
1967-07-06,2.34,Low,128.505,132.105,128.1384397605125,126.165,3.6,3.966560239487476
1967-07-07,2.34,Low,128.505,132.105,128.1384397605125,126.165,3.6,3.966560239487476
1967-07-08,2.34,Low,128.505,132.105,128.1384397605125,126.165,3.6,3.966560239487476
1967-07-09,2.33,Low,128.495,132.095,128.12843976051252,126.165,3.6,3.966560239487476
